Campaign report
"April 16, 2026 - April 16, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign type,Interactions,Interaction rate,Avg. cost,Cost,Impr.,Bid strategy type,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.,Original conv. value
Enabled,DE | Hair loss | Search | Prospecting | tCPA,600.00, --,Daily,USD,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; search volume limited,68.37,Search,57,6.34%,2.74,156.21,899,Maximize Conversions (Target CPA),57,3.51%,172.17,1.10,2.00,2.74,78.10,172.17
Paused,DE | Weight Loss Injection | Mounjaro | Search | Prospecting | tCPA 300 -maxcpc 15,1100.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Wegovy | Search | Prospecting | Head terms,400.00, --,Daily,USD,Paused,campaign paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | Weight Loss Injection | Ozempic | Search | Prospecting | tCPA | Ozempic LP new test,500.00, --,Daily,USD,Ended,campaign ended; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Birth control | Search | Prospecting | maxConv,960.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,"DE | Weight Loss Injection | Saxenda, Nevolat | Search | Prospecting |",100.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Wegovy | Search | Prospecting | max Conv | Head terms,400.00, --,Daily,USD,Paused,campaign paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,AT | ED | Potency medication | Search | Prospecting | maxConv,240.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,AT | Birth control | Search | Prospecting | maxConv,300.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | Semaglutid | Search | Prospecting | tCPA | Test LP,300.00, --,Daily,USD,Paused,campaign paused; campaign ended; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | WL all | Shopping,660.00, --,Daily,USD,Paused,unknown; campaign paused; Products are excluded, --,Shopping,0, --,0,0.00,0,Target ROAS,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | General Weight Loss Injection | GLP1 | Search | Prospecting | tROAS| AB TEST tCPA,780.00, --,Daily,USD,Paused,unknown; campaign paused; campaign ended; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,DE | Weight Loss Injection | Wegovy | Search | Prospecting |,4000.00, --,Daily,USD,Eligible (Limited),unknown; enhanced conversions has setup issues impacting performance; most ads disapproved; some ads limited by policy; ad strength is poor,62.83,Search,196,4.16%,8.12,1591.28,"4,714",Maximize Conversions (Target CPA),196,0.68%,265.72,0.17,1.33,8.12,1193.46,265.72
Paused,AT | Brand | Kapsel | Search | maxConv,360.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Kapsel Online Pharmacy | AB Test | Bid Strat tCPA,1500.00, --,Daily,USD,Paused,campaign paused; campaign ended; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | Weight Loss Injection | GLP1 | Search | Prospecting | tCPA | new LP test,780.00, --,Daily,USD,Ended,unknown; campaign ended; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,Online Apotheke,1.00, --,Daily,USD,Paused,campaign paused, --,Smart,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,DE | Weight Loss Injection | All | PMX,6500.00, --,Daily,USD,Eligible (Limited),enhanced conversions has setup issues impacting performance; limited by budget; most asset groups limited by policy; bidding strategy learning,76.99,Performance Max,"8,930",12.55%,0.77,6893.30,"71,135",Maximize Conversion Value (Target ROAS),"1,610",0.11%,"2,509.00",0.36,9.69,4.28,711.12,"2,509.00"
Paused,DE | Weight Loss Injection | Mounjaro - 0825 | Search | Prospecting | maxConv,1200.00, --,Daily,USD,Paused,campaign paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Birth control | Search | Prospecting | weekend | maxClick,240.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Sildenafil | Search | Prospecting | [Exact],120.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Hair loss | Shopping - Test Regaine,120.00, --,Daily,USD,Paused,unknown; campaign paused; Products are excluded, --,Shopping,0, --,0,0.00,0,Manual CPC,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,DE | ED | All | PMX,600.00, --,Daily,USD,Eligible (Limited),enhanced conversions has setup issues impacting performance; most asset groups limited by policy; bidding strategy learning,82.24,Performance Max,227,3.94%,1.18,266.87,"5,766",Maximize Conversions (Target CPA),227,2.20%,211.59,0.79,5.00,1.18,53.37,211.59
Paused,DE | Weight Loss | GLP1 | Product Specific | Search | Prospecting | New,2160.00, --,Daily,USD,Paused,unknown; campaign paused; All ad groups paused; limited by budget; some ads disapproved; most ads limited by policy, --,Search,80,9.11%,6.09,487.57,878,Maximize Conversions (Target CPA),80,0.00%,0.00,0.00,0.00,6.09,0.00,0.00
Paused,(old) DE | Weight Loss Injection | GLP1 for Men | Search | Test | maxConv,150.00, --,Daily,USD,Paused,campaign paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | Ozempic | Search | Prospecting | tCPA,500.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Target CPA,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Sildenafil | Search | Prospecting | tCPA AB Test CPA 50,4920.00, --,Daily,USD,Paused,unknown; campaign paused; campaign ended; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | HL | Finasteride | Search | Prospecting | eCPC #2,60.00, --,Daily,USD,Paused,unknown; campaign paused; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Viagra | Search | Prospecting | eCPC,60.00, --,Daily,USD,Paused,unknown; campaign paused; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,0,0.00,0,CPC (enhanced),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,DE | ED | Potency medication | Search | Prospecting |,1000.00,DE | DE Share budget & Bid Strategy created on 17/12/2025 10:02,Daily,USD,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; search volume limited; missing enough relevant keywords,74.12,Search,34,8.27%,2.61,88.58,411,Maximize Conversions (Target CPA),34,5.88%,77.81,0.88,2.00,2.61,44.29,77.81
Paused,(old) DE | ED | Tadalafil | Search | Prospecting | Max Clicks,120.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Viagra | Search | Prospecting | tCPA 100,600.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
