Campaign report
"April 23, 2026 - April 23, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign type,Interactions,Interaction rate,Avg. cost,Cost,Impr.,Bid strategy type,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.,Original conv. value
Enabled,DE | Weight Loss Injection | Ozempic | Search | Prospecting |,4000.00, --,Daily,USD,Eligible (Limited),unknown; enhanced conversions has setup issues impacting performance; most ads disapproved; some ads limited by policy,70.36,Search,724,8.10%,4.18,3026.77,"8,933",Maximize Conversions (Target CPA),724,0.28%,474.74,0.16,2.00,4.18,1513.38,474.74
Enabled,DE | Online Pharmacy/Doctor | Search | Prospecting | tCPA,1500.00, --,Daily,USD,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; ad strength is poor; missing enough relevant keywords,67.29,Search,543,8.58%,2.64,1432.36,"6,327",Maximize Conversions (Target CPA),543,1.92%,740.76,0.52,10.43,2.64,137.29,740.76
Enabled,DE | Hair loss | Search | Prospecting | tCPA,600.00, --,Daily,USD,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; search volume limited,68.37,Search,50,4.61%,3.75,187.39,"1,084",Maximize Conversions (Target CPA),50,0.00%,0.00,0.00,0.00,3.75,0.00,0.00
Enabled,DE | Birth control | Search | Prospecting | tCPA,1500.00, --,Daily,USD,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; missing enough relevant keywords,62.23,Search,96,2.70%,2.64,253.43,"3,559",Maximize Conversions (Target CPA),96,1.04%,23.55,0.09,1.00,2.64,253.43,23.55
Paused,(old) DE | Contraceptive Pill | - | Search | Prospecting,1.20, --,Daily,USD,Paused,unknown; campaign paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,0,0.00,0,Target Impression Share,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Mounjaro | Search | Prospecting | tCPA 300 -maxcpc 15,1100.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Wegovy | Search | Prospecting | Head terms,400.00, --,Daily,USD,Paused,campaign paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | GLP1 | Search | Generic,780.00, --,Daily,USD,Paused,campaign paused; All ads paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Competitors | Search,220.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight loss Pills | Orlistat/Xenical | Search | Prospecting | maxConv,200.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Mounjaro | Search | Prospecting | maxconv,1000.00, --,Daily,USD,Paused,unknown; campaign paused; some ads disapproved; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Wegovy | Search | Prospecting | maxConv,1600.00, --,Daily,USD,Paused,unknown; campaign paused; most ads disapproved; some ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Hair Loss | Finasteride | Search | Prospecting | eCPC #2,60.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Birth control | Search | Prospecting | tCPA | less ad groups,1500.00, --,Daily,USD,Paused,campaign paused; campaign ended; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Tadalafil Aristo | Search | Prospecting | tCPA | weekends,840.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) Sildenafil - Test,24.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All keywords paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | Weight Loss Injection | Ozempic | Search | Prospecting | tCPA | Ozempic LP new test,500.00, --,Daily,USD,Ended,campaign ended; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | ED | Sildenafil | Search | Prospecting | Max Clicks Landing page test,4920.00, --,Daily,USD,Ended,unknown; campaign ended; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Tadalafil Aristo | Search | Prospecting | tCPA,840.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Hair Loss | Finasteride | Search | Prospecting | tCPA,504.00, --,Daily,USD,Paused,unknown; campaign paused; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | Wegovy | Search | Prospecting | tCPA | Legacy vs Framer,1600.00, --,Daily,USD,Paused,campaign paused; campaign ended; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Target CPA,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Hair Loss | Finasteride | Search | Prospecting | tCPA | Finasteride LP test,504.00, --,Daily,USD,Paused,unknown; campaign paused; campaign ended; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | Semaglutid | Search | Prospecting | tCPA,300.00, --,Daily,USD,Paused,unknown; campaign paused; All ad groups paused; All ads paused; some ads disapproved; some ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | ED | Sildenafil | Search | Prospecting | Max Clicks | Broad,4920.00, --,Daily,USD,Ended,unknown; campaign ended; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | General Weight Loss Injection | GLP1 | Search | Prospecting | tROAS,780.00, --,Daily,USD,Paused,unknown; campaign paused; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Mounjaro | Shopping,560.00, --,Daily,USD,Paused,unknown; campaign paused; Products are excluded, --,Shopping,0, --,0,0.00,0,Manual CPC,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Viagra | Search | Prospecting | Max Clicks,60.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,DE | Brand | Kapsel | Search | tCPA,950.00, --,Daily,USD,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; some sitelinks are disapproved; bidding strategy learning,72.10,Search,82,27.99%,6.99,573.35,293,Maximize Conversions (Target CPA),82,13.30%,"1,644.65",2.87,10.91,6.99,52.56,"1,644.65"
Enabled,DE | ED | Potency medication | Search | Prospecting |,1000.00,DE | DE Share budget & Bid Strategy created on 17/12/2025 10:02,Daily,USD,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; search volume limited; missing enough relevant keywords,74.12,Search,57,8.60%,2.08,118.51,663,Maximize Conversions (Target CPA),57,3.43%,102.11,0.86,1.96,2.08,60.60,102.11
Enabled,DE | Weight Loss Injection | Wegovy | Search | Prospecting |,4000.00, --,Daily,USD,Eligible (Limited),unknown; enhanced conversions has setup issues impacting performance; most ads disapproved; some ads limited by policy; ad strength is poor,62.83,Search,269,4.25%,5.56,1496.91,"6,323",Maximize Conversions (Target CPA),269,0.00%,0.00,0.00,0.00,5.56,0.00,0.00
Enabled,DE | ED | All | PMX,600.00, --,Daily,USD,Eligible (Limited),enhanced conversions has setup issues impacting performance; most asset groups limited by policy; bidding strategy learning,82.24,Performance Max,191,5.03%,1.71,326.92,"3,797",Maximize Conversions (Target CPA),191,1.27%,137.29,0.42,2.42,1.71,135.18,137.29
Paused,AT | Online Prescription/Doctor | Search | Prospecting | maxConv,480.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,"DE | Weight Loss Injection | Saxenda, Nevolat | Search | Prospecting |",100.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Wegovy | Search | Prospecting | max Conv | Head terms,400.00, --,Daily,USD,Paused,campaign paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | GLP1 | Search | Prospecting | max Conv,960.00, --,Daily,USD,Paused,campaign paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight loss | Saxenda | Search | Prospecting | maxConv,500.00, --,Daily,USD,Paused,campaign paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,AT | Brand | Kapsel | Search | maxConv,360.00, --,Daily,USD,Paused,campaign paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | GLP1 for Men | Search | Test | maxConv,150.00, --,Daily,USD,Paused,campaign paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Kapsel Weight Loss | Search | Low Intent topics | maxClick,100.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss | GLP1 | Product Specific | Search | Prospecting | New,2160.00, --,Daily,USD,Paused,unknown; campaign paused; All ad groups paused; limited by budget; some ads disapproved; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Viagra | Search | Prospecting | eCPC,60.00, --,Daily,USD,Paused,unknown; campaign paused; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,0,0.00,0,CPC (enhanced),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Kapsel Online Pharmacy | AB Test | Bid Strat tCPA,1500.00, --,Daily,USD,Paused,campaign paused; campaign ended; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | HL | Finasteride | Search | Prospecting | eCPC #2,60.00, --,Daily,USD,Paused,unknown; campaign paused; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Sildenafil | Search | Prospecting | tCPA AB Test CPA 50,4920.00, --,Daily,USD,Paused,unknown; campaign paused; campaign ended; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Sildenafil | Search | Prospecting | Exact,120.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,0,0.00,0,CPC (enhanced),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
